id,prediction,true
171,0,0
172,0,1
173,0,0
174,1,1
175,0,0
176,0,0
177,1,1
178,1,1
179,1,1
180,0,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,0,0
192,1,1
193,1,1
194,0,0
195,0,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,0,1
207,0,0
208,0,0
209,0,0
210,1,1
211,0,0
212,1,1
213,1,1
214,1,1
215,1,1
216,1,1
217,1,1
218,1,1
219,0,0
220,0,0
221,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
231,1,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,0,1
238,0,0
239,0,0
240,0,1
241,1,1
242,1,1
243,1,1
244,0,0
245,1,1
246,1,1
247,1,1
248,1,1
249,1,1
250,1,1
251,1,1
252,1,1
253,1,1
254,0,0
255,0,1
256,1,1
257,0,0
258,0,0
259,1,1
260,1,1
261,1,1
262,0,0
263,1,1
264,1,1
265,0,0
266,0,0
267,1,1
268,0,0
269,0,1
270,0,0
271,0,1
272,1,1
273,0,1
274,1,1
275,1,1
276,0,0
277,1,1
278,1,1
279,1,1
280,1,1
281,1,1
282,1,1
283,1,1
284,1,1
285,0,0
286,1,1
287,1,1
288,0,1
289,0,0
290,0,0
291,1,1
292,1,1
293,1,1
294,1,1
295,0,0
296,0,1
297,1,1
298,0,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,0,0
306,0,0
307,0,0
308,1,1
309,1,1
310,0,1
311,0,0
312,0,0
313,1,1
314,0,1
315,1,1
316,1,1
317,1,1
318,0,0
319,0,0
320,1,1
321,1,1
322,1,1
323,1,1
324,1,1
325,0,0
326,1,1
327,0,1
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,1,0
334,1,1
335,1,1
336,0,1
337,0,1
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,1,1
344,0,0
345,0,0
346,1,1
347,1,1
348,0,1
349,0,1
350,1,1
351,1,1
352,1,1
353,1,1
354,1,1
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,0,1
361,1,1
362,0,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,0,0
375,0,1
376,1,1
377,1,1
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,1,1
384,0,0
385,0,0
386,0,0
387,1,1
388,1,1
389,0,0
390,0,0
391,0,0
392,0,1
393,0,0
394,0,1
395,1,1
396,1,1
397,1,1
398,0,0
399,1,1
400,1,1
401,1,1
402,1,1
403,1,1
404,1,1
405,1,1
406,0,0
407,0,1
408,1,1
409,0,1
410,0,0
411,1,1
412,0,0
413,0,1
414,1,1
415,1,1
416,0,1
417,1,0
418,0,0
419,0,0
420,1,1
421,1,1
422,1,1
423,1,1
424,0,0
425,1,1
426,0,0
427,1,1
428,0,1
429,0,1
430,0,1
431,1,1
432,1,1
433,0,0
434,0,0
435,0,0
436,0,1
437,1,1
438,0,0
439,1,1
440,0,0
441,1,1
442,1,1
443,0,1
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,0,0
450,0,0
451,0,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,0,1
458,1,1
459,0,0
460,1,1
461,0,1
462,1,1
463,0,1
464,0,1
465,1,1
466,1,1
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,0,0
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,1
480,1,1
481,1,1
482,0,1
483,1,1
484,1,1
485,0,0
486,1,1
487,1,1
488,1,1
489,1,1
490,1,1
491,1,1
492,1,1
493,1,1
494,1,1
495,1,1
496,1,0
497,1,1
498,1,1
499,1,1
500,0,0
501,0,0
502,1,1
503,0,0
504,1,1
505,0,0
506,0,0
507,0,0
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
514,1,1
515,0,0
516,1,1
517,1,1
518,0,0
519,1,1
520,1,1
521,1,1
522,1,1
523,0,0
524,1,1
525,1,0
526,1,1
527,0,0
528,1,1
529,1,1
530,1,1
531,1,1
532,1,1
533,1,1
534,0,1
535,1,1
536,1,1
537,0,0
538,1,1
539,0,1
540,1,1
541,1,1
542,1,1
543,1,0
544,1,1
545,0,1
546,1,1
547,1,1
548,1,1
549,0,1
550,1,1
551,1,1
552,1,1
553,1,1
554,1,1
555,0,0
556,0,1
557,1,1
558,1,1
559,0,1
560,0,0
561,1,1
562,1,1
563,1,1
564,1,1
565,1,1
566,0,0
567,1,1
568,1,1
569,1,1
570,1,1
571,1,1
572,1,1
573,0,1
574,1,1
575,0,0
576,1,1
577,1,1
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,1,1
584,0,0
585,0,1
586,0,0
587,1,1
588,1,1
589,1,1
590,1,1
591,0,0
592,1,1
593,0,0
594,0,1
595,1,1
596,1,1
597,1,1
598,1,1
599,1,1
600,0,1
601,0,1
602,0,0
603,1,1
604,1,1
605,1,1
606,1,1
607,1,1
608,1,1
609,1,1
610,1,1
611,1,1
612,1,1
613,1,1
614,1,1
615,1,1
616,1,1
617,0,0
618,0,1
619,1,1
620,1,1
621,1,1
622,1,1
623,0,0
624,1,1
625,1,1
626,1,1
627,1,1
628,1,1
629,0,1
630,1,1
631,1,0
632,0,0
633,0,1
634,1,1
635,0,0
636,1,1
637,1,1
638,1,1
639,0,1
640,1,1
641,1,1
642,1,1
643,1,1
644,1,1
645,1,1
646,1,1
647,1,1
648,0,1
649,1,1
650,1,1
651,1,1
652,1,1
653,0,1
654,0,1
655,0,0
656,0,1
657,0,1
658,0,0
659,1,1
660,1,1
661,1,1
662,1,1
663,1,1
664,1,1
665,1,1
666,1,1
667,1,1
668,0,1
669,1,1
670,1,1
671,0,1
672,1,1
673,1,1
674,0,0
675,0,0
676,1,1
677,1,1
678,1,1
679,1,1
680,0,1
681,0,0
682,1,1
683,1,1
684,0,0
685,0,0
686,0,0
687,1,1
688,1,1
689,1,0
690,0,1
691,0,0
692,0,1
693,1,1
694,1,1
695,1,1
696,1,1
697,1,1
698,1,1
699,1,1
700,1,1
701,0,1
702,0,0
703,1,1
704,1,1
705,0,1
706,0,0
707,1,1
708,1,1
709,1,1
710,0,0
711,0,0
712,1,1
713,1,1
714,1,0
715,1,1
716,0,0
717,1,1
718,1,1
719,0,1
720,0,0
721,0,0
722,1,1
723,1,1
724,1,1
725,0,0
726,0,0
727,0,0
728,1,1
729,1,1
730,1,1
731,0,0
732,0,0
733,1,1
734,0,0
735,0,0
736,1,1
737,1,1
738,1,1
739,1,1
740,1,1
741,1,1
742,1,1
743,1,1
744,1,1
745,1,1
746,1,1
747,1,1
748,1,1
749,1,1
750,0,0
751,0,0
752,0,1
753,1,1
754,0,0
755,0,0
756,1,0
757,1,1
758,0,1
759,1,1
760,0,0
761,1,1
762,1,1
763,0,1
764,0,1
765,1,0
766,1,1
767,0,1
768,1,1
769,0,1
770,0,0
771,1,1
772,1,1
773,0,1
774,1,1
775,1,1
776,0,0
777,1,1
778,1,1
779,1,1
780,1,1
781,1,1
782,1,1
783,1,1
784,1,1
785,0,1
786,1,1
787,1,1
788,0,0
789,0,0
790,0,0
791,1,1
792,1,1
793,0,1
794,0,0
795,1,1
796,0,0
797,1,1
798,1,1
799,0,0
800,1,1
801,1,1
802,0,1
803,1,1
804,1,1
805,0,0
806,0,1
807,1,1
808,1,1
809,1,1
810,0,1
811,0,1
812,0,0
813,0,1
814,0,0
815,1,1
816,0,1
817,0,1
818,0,0
819,0,1
820,0,0
821,0,0
822,1,1
823,1,1
824,1,1
825,1,1
826,0,0
827,0,0
828,1,1
829,1,1
830,0,1
831,1,1
832,1,1
833,0,0
834,1,1
835,1,1
836,0,1
837,1,1
838,1,1
839,1,1
840,1,1
841,1,1
842,1,0
843,0,0
844,1,1
845,0,1
846,1,1
847,1,1
848,1,1
849,1,1
850,1,1
851,1,1
852,1,1
853,1,1
854,1,1
855,0,0
856,0,1
857,0,0
858,0,0
859,0,0
860,0,1
861,1,1
862,1,1
863,0,1
864,0,1
865,1,1
866,1,1
867,1,1
868,1,1
869,1,1
870,1,1
871,0,0
872,0,0
873,0,0
874,0,0
875,0,1
876,1,0
877,0,1
878,0,0
879,1,1
880,0,0
881,1,1
882,0,1
883,1,1
884,1,1
885,0,0
886,0,0
887,0,0
888,0,0
889,1,1
890,0,0
891,0,0
892,0,0
893,1,1
894,1,1
895,1,1
896,0,1
897,1,1
898,0,0
899,0,0
900,1,1
901,1,1
902,1,1
903,1,1
904,0,1
905,1,1
906,0,1
907,0,1
908,1,1
909,1,1
910,1,1
911,1,1
912,0,0
913,0,1
914,0,1
915,0,0
916,1,1
917,0,1
918,0,0
919,1,1
920,1,1
921,1,1
922,1,0
923,1,1
924,1,1
925,1,1
926,1,1
927,1,1
928,1,1
929,1,1
930,1,1
931,1,1
932,1,1
933,1,1
934,1,1
935,1,1
936,1,1
937,1,1
938,1,1
939,1,1
940,1,1
941,1,1
942,1,1
943,1,1
944,1,1
945,1,1
946,0,0
947,1,1
948,0,0
949,1,1
950,1,1
951,1,1
952,0,1
953,0,0
954,0,1
955,0,0
956,0,0
957,1,1
958,1,1
959,0,1
960,1,1
961,1,1
962,1,1
963,0,0
964,0,0
965,0,0
966,1,1
967,0,0
968,1,1
969,0,1
970,1,1
971,0,0
972,0,1
973,0,0
974,0,0
975,0,0
976,0,0
977,1,1
978,1,0
979,1,1
980,1,1
981,1,1
982,1,1
983,1,1
984,1,1
985,1,1
986,0,0
987,1,1
988,1,1
989,0,1
990,0,1
991,0,0
992,0,0
993,0,0
994,0,1
995,0,0
996,0,0
997,0,0
998,1,1
999,0,1
1000,1,1
1001,0,1
1002,0,0
1003,1,1
1004,1,1
1005,1,1
1006,0,1
1007,1,0
1008,1,1
1009,0,1
1010,1,1
1011,0,0
1012,0,1
1013,1,1
1014,0,0
1015,1,1
1016,1,1
1017,1,1
1018,1,1
1019,1,1
1020,1,1
1021,1,1
1022,0,0
1023,1,1
1024,1,1
1025,1,1
1026,0,1
1027,1,1
1028,0,1
1029,1,1
1030,1,1
1031,1,1
1032,1,1
1033,0,1
1034,1,1
1035,1,1
1036,0,1
1037,1,1
1038,1,1
1039,0,0
1040,0,0
1041,0,1
1042,0,0
1043,1,0
1044,1,1
1045,0,1
1046,0,1
1047,1,1
1048,0,0
1049,0,1
1050,0,0
1051,0,0
1052,0,1
1053,1,1
1054,1,1
1055,0,0
1056,0,0
1057,0,0
1058,0,0
1059,0,0
1060,0,0
1061,1,1
1062,1,1
1063,0,0
1064,1,1
1065,0,1
1066,0,1
1067,0,0
1068,0,0
1069,0,0
1070,0,0
1071,1,1
1072,1,1
1073,1,1
1074,0,1
1075,1,1
1076,0,0
1077,1,1
1078,0,1
1079,0,1
1080,0,0
1081,0,1
1082,1,1
1083,0,0
1084,1,1
1085,0,0
1086,0,0
1087,1,1
1088,1,1
1089,1,1
1090,1,1
1091,1,1
1092,1,1
1093,1,1
1094,1,1
1095,1,1
1096,1,1
1097,1,1
1098,1,1
1099,1,1
1100,0,0
1101,0,0
1102,0,1
1103,1,1
1104,1,1
1105,0,0
1106,0,0
1107,0,0
1108,0,1
1109,1,1
1110,0,0
1111,1,1
1112,1,0
1113,0,0
1114,0,0
1115,1,1
1116,1,1
1117,1,1
1118,0,0
1119,1,1
1120,0,1
1121,0,1
1122,1,1
1123,1,1
1124,0,0
1125,1,1
1126,0,1
1127,0,0
1128,0,1
1129,0,0
1130,0,0
1131,1,1
1132,1,1
1133,1,1
1134,0,1
1135,1,1
